                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62347,                0.55739,                 1.0182,                0.83272,                0.89609,                0.91093,                0.67934,                0.61186,                0.56895,                 1.0352,             0.00082925,             0.00082925,             0.00082925
                     36,                0.58017,                0.54569,                0.99801,                0.83793,                0.91122,                0.92078,                0.66989,                0.67058,                0.56036,                 1.0593,             0.00081688,             0.00081688,             0.00081688
                     37,                0.61806,                0.54568,                0.99198,                0.83033,                0.92678,                0.91624,                0.67514,                0.69421,                0.57371,                 1.0907,              0.0008045,              0.0008045,              0.0008045
                     38,                0.60396,                0.54681,                 1.0125,                0.80117,                0.87676,                0.89434,                0.69294,                0.63654,                0.58445,                  1.068,             0.00079213,             0.00079213,             0.00079213
                     39,                 0.5945,                0.53584,                0.99192,                0.82788,                0.84157,                0.90678,                 0.6927,                0.65402,                0.57299,                 1.0646,             0.00077975,             0.00077975,             0.00077975
                     40,                0.58841,                0.52115,                0.98346,                 0.8207,                0.88036,                0.89616,                0.70416,                 0.6148,                 0.5371,                 1.0415,             0.00076738,             0.00076738,             0.00076738
                     41,                0.61277,                0.52544,                 1.0186,                0.79841,                0.90519,                0.89171,                0.67335,                0.67323,                0.56287,                 1.0879,               0.000755,               0.000755,               0.000755
                     42,                0.58583,                0.54262,                0.98838,                0.81438,                0.85591,                0.87978,                0.66912,                0.64432,                0.57223,                 1.0709,             0.00074263,             0.00074263,             0.00074263
                     43,                0.59444,                0.54486,                0.99788,                0.84675,                0.88387,                0.90734,                0.67642,                0.64587,                0.60818,                 1.0486,             0.00073025,             0.00073025,             0.00073025
                     44,                0.55886,                0.49537,                0.96901,                0.81639,                 0.9156,                0.88636,                0.66846,                0.61351,                0.58632,                 1.0698,             0.00071788,             0.00071788,             0.00071788
                     45,                0.58842,                0.51953,                0.99764,                  0.801,                0.90848,                 0.9049,                0.67809,                0.61798,                0.57008,                 1.0533,              0.0007055,              0.0007055,              0.0007055
                     46,                0.54996,                0.50127,                0.97884,                0.83219,                0.88911,                0.90657,                0.69498,                0.58803,                0.53852,                 1.0253,             0.00069313,             0.00069313,             0.00069313
                     47,                0.58586,                0.51319,                0.98571,                0.80767,                 0.8769,                0.90146,                0.69502,                0.65676,                0.54087,                 1.0686,             0.00068075,             0.00068075,             0.00068075
                     48,                0.55501,                0.49598,                0.97491,                 0.7437,                0.88421,                0.86865,                0.67369,                0.65461,                0.56222,                 1.0768,             0.00066838,             0.00066838,             0.00066838
                     49,                0.56034,                0.49931,                0.98105,                0.83264,                 0.8394,                0.88732,                0.68804,                0.59523,                0.54654,                 1.0391,               0.000656,               0.000656,               0.000656
                     50,                0.54966,                0.50309,                0.98238,                0.87519,                0.83772,                0.90392,                0.70682,                0.58967,                0.54358,                 1.0378,             0.00064362,             0.00064362,             0.00064362
                     51,                0.57961,                0.53445,                0.99532,                 0.8297,                0.88086,                0.89206,                0.70619,                0.59934,                0.52893,                 1.0402,             0.00063125,             0.00063125,             0.00063125
                     52,                 0.5313,                0.48439,                0.96773,                0.84423,                 0.8927,                0.89995,                0.69969,                0.63189,                0.55775,                 1.0638,             0.00061887,             0.00061887,             0.00061887
                     53,                0.58685,                0.51417,                0.99223,                0.84122,                0.90073,                0.90345,                0.70383,                0.64822,                0.56218,                 1.0602,              0.0006065,              0.0006065,              0.0006065
                     54,                0.58938,                0.49231,                 1.0094,                0.84003,                0.89867,                0.91356,                0.70832,                0.60451,                0.53801,                 1.0407,             0.00059413,             0.00059413,             0.00059413
                     55,                 0.5713,                0.48494,                0.99822,                0.88144,                0.85388,                0.91088,                0.69231,                0.64134,                0.53435,                 1.0687,             0.00058175,             0.00058175,             0.00058175
                     56,                 0.5466,                0.47629,                0.97903,                0.88307,                0.87831,                 0.9253,                0.71268,                0.62641,                0.51765,                 1.0376,             0.00056938,             0.00056938,             0.00056938
                     57,                0.56294,                0.46706,                0.97879,                0.84972,                0.91156,                0.91562,                0.71222,                0.60273,                0.51578,                 1.0414,               0.000557,               0.000557,               0.000557
                     58,                0.53882,                0.46282,                0.97257,                0.84422,                0.92039,                 0.9118,                0.71411,                0.61432,                0.51716,                 1.0531,             0.00054463,             0.00054463,             0.00054463
